mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,16,16,(4;2;0),WS 1 (Port 1),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
2,0,return,16,16,WS 1 (Port 1),(1;0;1),148,223,223.0,30.0 + 15.0 + 30.0
3,1,target,36,36,(1;9;0),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
4,1,return,36,36,WS 1 (Port 2),(1;0;0),188,263,263.0,30.0 + 15.0 + 30.0
5,2,target,40,40,(1;1;3),WS 1 (Port 3),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
6,2,return,40,40,WS 1 (Port 3),(0;2;4),108,188,188.0,30.0 + 20.0 + 30.0
7,2,target,44,44,(2;1;2),WS 1 (Port 1),203,298,298.0,30.0 + 25.0 + 30.0 + 10.0
8,0,return,44,44,WS 1 (Port 1),(0;2;3),306,386,386.0,30.0 + 20.0 + 30.0
9,1,target,51,51,(5;0;2),WS 1 (Port 1),283,388,388.0,30.0 + 35.0 + 30.0 + 10.0
10,1,return,51,51,WS 1 (Port 1),(0;2;2),396,476,476.0,30.0 + 20.0 + 30.0
11,2,target,174,174,(2;3;2),WS 1 (Port 2),323,428,428.0,30.0 + 35.0 + 30.0 + 10.0
12,0,return,174,174,WS 1 (Port 2),(0;2;1),436,516,516.0,30.0 + 20.0 + 30.0
