mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,183,0,(3;5;2),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,98,0,(3;5;3),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,224,0,(3;5;4),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,target,0,0,(3;5;5),WS 1 (Port 1),160,280,280.0,30.0 + 50.0 + 30.0 + 10.0
5,0,return,0,0,WS 1 (Port 1),(1;0;1),284,359,359.0,30.0 + 15.0 + 30.0
6,1,reshuffle,273,195,(3;10;0),(0;2;1),215,330,330.0,30.0 + 55.0 + 30.0
7,2,reshuffle,323,195,(3;10;1),(0;2;0),245,360,360.0,30.0 + 55.0 + 30.0
8,1,reshuffle,290,195,(3;10;2),(0;3;2),385,495,495.0,30.0 + 50.0 + 30.0
9,2,target,195,195,(3;10;3),WS 1 (Port 1),415,560,560.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,195,195,WS 1 (Port 1),(1;0;0),572,647,647.0,30.0 + 15.0 + 30.0
11,1,reshuffle,174,118,(2;3;2),(0;3;1),505,575,575.0,30.0 + 10.0 + 30.0
12,1,reshuffle,349,118,(2;3;3),(0;3;0),585,655,655.0,30.0 + 10.0 + 30.0
13,2,reshuffle,33,118,(2;3;4),(0;6;6),615,700,700.0,30.0 + 25.0 + 30.0
14,1,reshuffle,263,118,(2;3;5),(0;6;5),665,750,750.0,30.0 + 25.0 + 30.0
15,0,target,118,118,(2;3;6),WS 1 (Port 1),695,800,800.0,30.0 + 35.0 + 30.0 + 10.0
16,0,return,118,118,WS 1 (Port 1),(1;1;2),802,882,882.0,30.0 + 20.0 + 30.0
17,2,reshuffle,102,31,(2;9;0),(0;6;4),725,810,810.0,30.0 + 25.0 + 30.0
18,1,reshuffle,264,31,(2;9;1),(0;6;3),775,860,860.0,30.0 + 25.0 + 30.0
19,2,target,31,31,(2;9;2),WS 1 (Port 1),835,970,970.0,30.0 + 65.0 + 30.0 + 10.0
20,0,return,31,31,WS 1 (Port 1),(1;1;1),974,1054,1054.0,30.0 + 20.0 + 30.0
21,1,reshuffle,150,24,(1;4;0),(0;6;2),875,950,950.0,30.0 + 15.0 + 30.0
22,1,reshuffle,35,24,(1;4;1),(0;6;1),965,1040,1040.0,30.0 + 15.0 + 30.0
23,2,target,24,24,(1;4;2),WS 1 (Port 1),995,1100,1100.0,30.0 + 35.0 + 30.0 + 10.0
24,0,return,24,24,WS 1 (Port 1),(1;1;0),1102,1182,1182.0,30.0 + 20.0 + 30.0
25,1,reshuffle,87,10,(4;3;0),(0;6;0),1075,1170,1170.0,30.0 + 35.0 + 30.0
26,2,reshuffle,204,10,(4;3;1),(0;7;2),1135,1235,1235.0,30.0 + 40.0 + 30.0
27,1,reshuffle,197,10,(4;3;2),(0;7;1),1205,1305,1305.0,30.0 + 40.0 + 30.0
28,0,reshuffle,80,10,(4;3;3),(0;7;0),1235,1335,1335.0,30.0 + 40.0 + 30.0
29,2,reshuffle,253,10,(4;3;4),(0;8;5),1275,1380,1380.0,30.0 + 45.0 + 30.0
30,1,reshuffle,113,10,(4;3;5),(0;8;4),1345,1450,1450.0,30.0 + 45.0 + 30.0
31,0,target,10,10,(4;3;6),WS 1 (Port 1),1375,1490,1490.0,30.0 + 45.0 + 30.0 + 10.0
32,0,return,10,10,WS 1 (Port 1),(2;0;0),1498,1578,1578.0,30.0 + 20.0 + 30.0
