mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,83,32,(2;6;1),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,target,32,32,(2;6;2),WS 2 (Port 1),70,195,195.0,30.0 + 55.0 + 30.0 + 10.0
3,0,return,32,32,WS 2 (Port 1),(1;0;1),205,285,285.0,30.0 + 20.0 + 30.0
4,2,target,16,16,(4;2;0),WS 2 (Port 2),30,145,145.0,30.0 + 45.0 + 30.0 + 10.0
5,1,return,16,16,WS 2 (Port 2),(1;0;0),185,315,315.0,30.0 + 70.0 + 30.0
6,2,target,40,40,(1;1;3),WS 2 (Port 1),160,255,255.0,30.0 + 25.0 + 30.0 + 10.0
7,2,return,40,40,WS 2 (Port 1),(0;2;3),259,344,344.0,30.0 + 25.0 + 30.0
8,0,target,57,57,(4;7;1),WS 2 (Port 1),335,475,475.0,30.0 + 70.0 + 30.0 + 10.0
9,0,return,57,57,WS 2 (Port 1),(0;2;2),479,564,564.0,30.0 + 25.0 + 30.0
10,1,reshuffle,279,126,(4;9;0),(0;2;1),375,594,594.0,30.0 + 159.0 + 30.0
11,2,reshuffle,309,126,(4;9;1),(0;2;0),405,624,624.0,30.0 + 159.0 + 30.0
12,0,target,126,126,(4;9;2),WS 2 (Port 1),619,769,769.0,30.0 + 80.0 + 30.0 + 10.0
13,0,return,126,126,WS 2 (Port 1),(1;1;3),779,864,864.0,30.0 + 25.0 + 30.0
14,1,target,172,172,(2;7;1),WS 2 (Port 2),629,759,759.0,30.0 + 60.0 + 30.0 + 10.0
15,1,return,172,172,WS 2 (Port 2),(1;1;2),761,894,894.0,30.0 + 73.0 + 30.0
16,2,target,275,275,(0;4;0),WS 2 (Port 3),634,739,739.0,30.0 + 35.0 + 30.0 + 10.0
17,2,return,275,275,WS 2 (Port 3),(1;1;1),741,924,924.0,30.0 + 123.0 + 30.0
18,0,reshuffle,193,391,(1;5;0),(0;3;2),884,959,959.0,30.0 + 15.0 + 30.0
19,1,reshuffle,58,391,(1;5;1),(0;3;1),914,989,989.0,30.0 + 15.0 + 30.0
20,2,reshuffle,208,391,(1;5;2),(0;3;0),944,1019,1019.0,30.0 + 15.0 + 30.0
21,0,target,391,391,(1;5;3),WS 2 (Port 1),974,1089,1089.0,30.0 + 45.0 + 30.0 + 10.0
22,0,return,391,391,WS 2 (Port 1),(1;1;0),1093,1178,1178.0,30.0 + 25.0 + 30.0
