mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,13,79,(1;8;1),(0;0;7),45,150,150.0,30.0 + 45.0 + 30.0
2,1,reshuffle,35,79,(1;8;2),(0;0;6),75,180,180.0,30.0 + 45.0 + 30.0
3,2,reshuffle,57,79,(1;8;3),(0;0;5),105,210,210.0,30.0 + 45.0 + 30.0
4,0,target,79,79,(1;8;4),WS 1 (Port 1),195,320,320.0,30.0 + 55.0 + 30.0 + 10.0
5,0,return,79,79,WS 1 (Port 1),(0;0;4),332,402,402.0,30.0 + 10.0 + 30.0
6,1,target,12,12,(1;9;1),WS 1 (Port 2),230,360,360.0,30.0 + 60.0 + 30.0 + 10.0
7,1,return,12,12,WS 1 (Port 2),(0;0;3),380,450,450.0,30.0 + 10.0 + 30.0
8,2,target,5,5,(5;5;0),WS 1 (Port 1),260,390,390.0,30.0 + 60.0 + 30.0 + 10.0
9,2,return,5,5,WS 1 (Port 1),(0;0;2),392,480,480.0,30.0 + 28.0 + 30.0
10,0,target,1,1,(5;9;0),WS 1 (Port 1),472,622,622.0,30.0 + 80.0 + 30.0 + 10.0
11,0,return,1,1,WS 1 (Port 1),(0;0;1),626,696,696.0,30.0 + 10.0 + 30.0
12,1,target,8,8,(5;2;0),WS 1 (Port 2),485,600,600.0,30.0 + 45.0 + 30.0 + 10.0
13,1,return,8,8,WS 1 (Port 2),(0;0;0),608,726,726.0,30.0 + 58.0 + 30.0
