mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,273,195,(3;10;0),(0;2;4),65,180,180.0,30.0 + 55.0 + 30.0
2,1,reshuffle,323,195,(3;10;1),(0;2;3),95,210,210.0,30.0 + 55.0 + 30.0
3,2,reshuffle,290,195,(3;10;2),(0;2;2),125,240,240.0,30.0 + 55.0 + 30.0
4,0,target,195,195,(3;10;3),WS 2 (Port 1),235,385,385.0,30.0 + 80.0 + 30.0 + 10.0
5,0,return,195,195,WS 2 (Port 1),(1;0;1),387,467,467.0,30.0 + 20.0 + 30.0
6,1,target,22,22,(5;1;4),WS 2 (Port 2),240,355,355.0,30.0 + 45.0 + 30.0 + 10.0
7,1,return,22,22,WS 2 (Port 2),(1;0;0),359,497,497.0,30.0 + 78.0 + 30.0
8,2,target,71,71,(2;10;5),WS 2 (Port 1),290,435,435.0,30.0 + 75.0 + 30.0 + 10.0
9,2,return,71,71,WS 2 (Port 1),(0;2;1),441,526,526.0,30.0 + 25.0 + 30.0
10,0,target,142,142,(3;1;4),WS 2 (Port 1),482,587,587.0,30.0 + 35.0 + 30.0 + 10.0
11,0,return,142,142,WS 2 (Port 1),(0;2;0),595,680,680.0,30.0 + 25.0 + 30.0
12,1,target,255,255,(0;1;0),WS 1 (Port 1),507,592,592.0,30.0 + 15.0 + 30.0 + 10.0
13,1,return,255,255,WS 1 (Port 1),(1;1;2),594,674,674.0,30.0 + 20.0 + 30.0
14,2,target,388,388,(0;1;1),WS 1 (Port 2),537,622,622.0,30.0 + 15.0 + 30.0 + 10.0
15,2,return,388,388,WS 1 (Port 2),(0;1;1),628,703,703.0,30.0 + 15.0 + 30.0
