mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,13,13,(3;0;0),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
2,0,return,13,13,WS 1 (Port 1),(1;0;1),114,189,189.0,30.0 + 15.0 + 30.0
3,1,target,150,150,(1;4;0),WS 1 (Port 2),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
4,1,return,150,150,WS 1 (Port 2),(1;0;0),132,219,219.0,30.0 + 27.0 + 30.0
5,2,target,174,174,(2;3;2),WS 1 (Port 3),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
6,2,return,174,174,WS 1 (Port 3),(1;1;2),132,212,212.0,30.0 + 20.0 + 30.0
7,0,target,189,189,(0;5;0),WS 1 (Port 1),219,324,324.0,30.0 + 35.0 + 30.0 + 10.0
8,0,return,189,189,WS 1 (Port 1),(1;1;1),334,414,414.0,30.0 + 20.0 + 30.0
9,2,reshuffle,374,211,(5;5;2),(0;3;2),252,347,347.0,30.0 + 35.0 + 30.0
10,1,reshuffle,348,211,(5;5;3),(0;3;1),282,377,377.0,30.0 + 35.0 + 30.0
11,2,target,211,211,(5;5;4),WS 1 (Port 1),382,512,512.0,30.0 + 60.0 + 30.0 + 10.0
12,0,return,211,211,WS 1 (Port 1),(1;1;0),518,598,598.0,30.0 + 20.0 + 30.0
13,1,reshuffle,392,235,(1;10;0),(0;3;0),417,517,517.0,30.0 + 40.0 + 30.0
14,1,target,235,235,(1;10;1),WS 1 (Port 1),557,692,692.0,30.0 + 65.0 + 30.0 + 10.0
15,0,return,235,235,WS 1 (Port 1),(2;0;0),694,774,774.0,30.0 + 20.0 + 30.0
16,2,target,239,239,(5;10;3),WS 1 (Port 1),587,742,742.0,30.0 + 85.0 + 30.0 + 10.0
17,1,return,239,239,WS 1 (Port 1),(1;2;3),744,829,829.0,30.0 + 25.0 + 30.0
18,2,target,274,274,(3;8;1),WS 1 (Port 1),797,932,932.0,30.0 + 65.0 + 30.0 + 10.0
19,0,return,274,274,WS 1 (Port 1),(1;2;2),934,1019,1019.0,30.0 + 25.0 + 30.0
20,1,target,373,373,(0;6;7),WS 1 (Port 2),854,964,964.0,30.0 + 40.0 + 30.0 + 10.0
21,1,return,373,373,WS 1 (Port 2),(1;2;1),966,1051,1051.0,30.0 + 25.0 + 30.0
22,2,target,346,346,(2;8;3),WS 1 (Port 1),982,1112,1112.0,30.0 + 60.0 + 30.0 + 10.0
23,0,return,346,346,WS 1 (Port 1),(1;2;0),1114,1199,1199.0,30.0 + 25.0 + 30.0
24,1,target,316,316,(1;7;0),WS 1 (Port 1),1076,1196,1196.0,30.0 + 50.0 + 30.0 + 10.0
25,1,return,316,316,WS 1 (Port 1),(2;1;1),1198,1283,1283.0,30.0 + 25.0 + 30.0
26,2,target,302,302,(0;2;5),WS 1 (Port 2),1122,1212,1212.0,30.0 + 20.0 + 30.0 + 10.0
27,2,return,302,302,WS 1 (Port 2),(0;2;5),1214,1294,1294.0,30.0 + 20.0 + 30.0
28,0,target,3,3,(2;5;2),WS 1 (Port 1),1219,1334,1334.0,30.0 + 45.0 + 30.0 + 10.0
29,0,return,3,3,WS 1 (Port 1),(0;2;4),1336,1416,1416.0,30.0 + 20.0 + 30.0
30,1,reshuffle,140,144,(0;10;1),(0;2;3),1338,1446,1446.0,30.0 + 48.0 + 30.0
31,2,reshuffle,338,144,(0;10;2),(0;2;2),1368,1476,1476.0,30.0 + 48.0 + 30.0
32,0,reshuffle,252,144,(0;10;3),(0;2;1),1456,1556,1556.0,30.0 + 40.0 + 30.0
33,1,reshuffle,376,144,(0;10;4),(0;2;0),1486,1586,1586.0,30.0 + 40.0 + 30.0
34,2,target,144,144,(0;10;5),WS 1 (Port 1),1516,1646,1646.0,30.0 + 60.0 + 30.0 + 10.0
35,0,return,144,144,WS 1 (Port 1),(2;1;0),1654,1739,1739.0,30.0 + 25.0 + 30.0
