mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,3,3,(2;5;2),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,3,3,WS 2 (Port 1),(1;0;1),161,241,241.0,30.0 + 20.0 + 30.0
3,1,target,16,16,(4;2;0),WS 2 (Port 2),30,145,145.0,30.0 + 45.0 + 30.0 + 10.0
4,1,return,16,16,WS 2 (Port 2),(1;0;0),147,271,271.0,30.0 + 64.0 + 30.0
5,2,target,56,56,(0;0;0),WS 2 (Port 3),0,85,85.0,30.0 + 15.0 + 30.0 + 10.0
6,2,return,56,56,WS 2 (Port 3),(0;0;0),87,162,162.0,30.0 + 15.0 + 30.0
7,2,target,71,71,(2;10;5),WS 2 (Port 1),222,367,367.0,30.0 + 75.0 + 30.0 + 10.0
8,0,return,71,71,WS 2 (Port 1),(0;2;4),373,458,458.0,30.0 + 25.0 + 30.0
9,1,target,79,79,(2;0;1),WS 2 (Port 2),276,371,371.0,30.0 + 25.0 + 30.0 + 10.0
10,1,return,79,79,WS 2 (Port 2),(0;2;3),375,488,488.0,30.0 + 53.0 + 30.0
11,2,target,114,114,(4;10;1),WS 2 (Port 1),442,597,597.0,30.0 + 85.0 + 30.0 + 10.0
12,0,return,114,114,WS 2 (Port 1),(0;2;2),599,684,684.0,30.0 + 25.0 + 30.0
13,1,target,274,274,(3;8;1),WS 2 (Port 1),533,673,673.0,30.0 + 70.0 + 30.0 + 10.0
14,1,return,274,274,WS 2 (Port 1),(0;2;1),675,760,760.0,30.0 + 25.0 + 30.0
15,2,target,275,275,(0;4;0),WS 2 (Port 1),622,727,727.0,30.0 + 35.0 + 30.0 + 10.0
16,0,return,275,275,WS 2 (Port 1),(0;2;0),729,814,814.0,30.0 + 25.0 + 30.0
