mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,134,1,(1;3;5),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
2,1,target,1,1,(1;3;6),WS 2 (Port 1),50,155,155.0,30.0 + 35.0 + 30.0 + 10.0
3,0,return,1,1,WS 2 (Port 1),(1;0;1),163,243,243.0,30.0 + 20.0 + 30.0
4,2,reshuffle,47,14,(1;6;5),(0;2;3),35,120,120.0,30.0 + 25.0 + 30.0
5,2,reshuffle,161,14,(1;6;6),(0;2;2),145,230,230.0,30.0 + 25.0 + 30.0
6,1,target,14,14,(1;6;7),WS 2 (Port 1),195,315,315.0,30.0 + 50.0 + 30.0 + 10.0
7,0,return,14,14,WS 2 (Port 1),(1;0;0),317,397,397.0,30.0 + 20.0 + 30.0
8,2,reshuffle,274,18,(3;8;1),(0;2;1),275,380,380.0,30.0 + 45.0 + 30.0
9,1,reshuffle,384,18,(3;8;2),(0;2;0),375,480,480.0,30.0 + 45.0 + 30.0
10,2,reshuffle,265,18,(3;8;3),(0;3;2),425,525,525.0,30.0 + 40.0 + 30.0
11,0,reshuffle,141,18,(3;8;4),(0;3;1),455,555,555.0,30.0 + 40.0 + 30.0
12,1,target,18,18,(3;8;5),WS 2 (Port 1),525,665,665.0,30.0 + 70.0 + 30.0 + 10.0
13,0,return,18,18,WS 2 (Port 1),(1;1;2),667,752,752.0,30.0 + 25.0 + 30.0
14,2,reshuffle,13,66,(3;0;0),(0;3;0),555,645,645.0,30.0 + 30.0 + 30.0
15,2,reshuffle,107,66,(3;0;1),(0;6;6),675,780,780.0,30.0 + 45.0 + 30.0
16,1,reshuffle,285,66,(3;0;2),(0;6;5),705,810,810.0,30.0 + 45.0 + 30.0
17,0,reshuffle,104,66,(3;0;3),(0;6;4),767,872,872.0,30.0 + 45.0 + 30.0
18,2,reshuffle,351,66,(3;0;4),(0;6;3),825,930,930.0,30.0 + 45.0 + 30.0
19,1,reshuffle,218,66,(3;0;5),(0;6;2),855,960,960.0,30.0 + 45.0 + 30.0
20,0,target,66,66,(3;0;6),WS 2 (Port 1),917,1017,1017.0,30.0 + 30.0 + 30.0 + 10.0
21,0,return,66,66,WS 2 (Port 1),(1;1;1),1033,1118,1118.0,30.0 + 25.0 + 30.0
22,2,target,79,79,(2;0;1),WS 2 (Port 2),970,1065,1065.0,30.0 + 25.0 + 30.0 + 10.0
23,1,return,79,79,WS 2 (Port 2),(1;1;0),1077,1162,1162.0,30.0 + 25.0 + 30.0
