Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164614,8,537.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164619,3,309.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164621,4,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164624,5,307.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164628,2,183.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164630,23,1158.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164636,4,273.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164639,4,305.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164643,7,247.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164646,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164649,5,211.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164653,3,259.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164656,11,608.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164702,2,209.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164704,27,1403.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164716,25,1142.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164729,4,213.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164732,5,359.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164736,4,213.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164740,11,520.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164747,4,213.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164748,13,808.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164751,9,670.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164756,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164759,7,437.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164803,4,329.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164806,7,493.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164811,6,403.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164814,48,2136.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164824,7,404.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164829,8,475.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164834,3,245.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164837,4,213.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164841,2,179.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164843,17,1044.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164849,2,269.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164851,4,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164855,10,662.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164859,9,458.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164905,4,355.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164908,4,207.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164912,8,446.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164917,5,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164919,18,970.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164926,8,414.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164931,3,227.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164935,17,768.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164944,6,419.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164948,2,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164950,21,946.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164953,5,279.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312164957,3,215.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165000,4,279.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165003,10,502.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165009,4,325.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165013,3,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165016,4,279.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165019,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165021,34,1708.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165032,5,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165036,3,205.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165039,4,311.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165043,4,283.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165046,5,279.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165050,6,307.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165052,35,2101.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165104,10,504.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165110,3,227.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165113,6,303.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165117,3,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165119,14,598.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165123,5,303.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165127,27,1457.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165137,18,860.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165142,3,277.0,0.0
