mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,63,195,(2;2;2),(0;0;5),20,100,100.0,30.0 + 20.0 + 30.0
2,1,reshuffle,41,195,(2;2;3),(0;0;4),50,130,130.0,30.0 + 20.0 + 30.0
3,2,reshuffle,10,195,(2;2;4),(0;0;3),80,160,160.0,30.0 + 20.0 + 30.0
4,0,reshuffle,341,195,(2;2;5),(0;1;5),120,195,195.0,30.0 + 15.0 + 30.0
5,1,target,195,195,(2;2;6),WS 1 (Port 1),150,250,250.0,30.0 + 30.0 + 30.0 + 10.0
6,0,return,195,195,WS 1 (Port 1),(0;1;4),258,333,333.0,30.0 + 15.0 + 30.0
7,2,reshuffle,78,56,(1;6;2),(0;1;3),195,363,363.0,30.0 + 108.0 + 30.0
8,1,target,56,56,(1;6;3),WS 1 (Port 1),285,400,400.0,30.0 + 45.0 + 30.0 + 10.0
9,0,return,56,56,WS 1 (Port 1),(0;1;2),404,479,479.0,30.0 + 15.0 + 30.0
10,2,reshuffle,79,57,(1;7;2),(0;1;1),398,509,509.0,30.0 + 51.0 + 30.0
11,1,target,57,57,(1;7;3),WS 1 (Port 1),440,560,560.0,30.0 + 50.0 + 30.0 + 10.0
12,0,return,57,57,WS 1 (Port 1),(0;1;0),562,637,637.0,30.0 + 15.0 + 30.0
13,2,reshuffle,31,105,(3;3;1),(0;2;5),534,614,614.0,30.0 + 20.0 + 30.0
14,1,reshuffle,0,105,(3;3;2),(0;2;4),590,670,670.0,30.0 + 20.0 + 30.0
15,2,reshuffle,331,105,(3;3;3),(0;3;5),634,709,709.0,30.0 + 15.0 + 30.0
16,0,reshuffle,185,105,(3;3;4),(0;3;4),664,739,739.0,30.0 + 15.0 + 30.0
17,1,reshuffle,138,105,(3;3;5),(0;3;3),694,769,769.0,30.0 + 15.0 + 30.0
18,2,target,105,105,(3;3;6),WS 1 (Port 1),724,834,834.0,30.0 + 40.0 + 30.0 + 10.0
19,0,return,105,105,WS 1 (Port 1),(1;0;1),836,911,911.0,30.0 + 15.0 + 30.0
20,1,reshuffle,377,151,(5;5;0),(0;3;2),804,899,899.0,30.0 + 35.0 + 30.0
21,2,reshuffle,220,151,(5;5;1),(0;3;1),884,979,979.0,30.0 + 35.0 + 30.0
22,1,reshuffle,165,151,(5;5;2),(0;3;0),934,1029,1029.0,30.0 + 35.0 + 30.0
23,0,target,151,151,(5;5;3),WS 1 (Port 1),964,1094,1094.0,30.0 + 60.0 + 30.0 + 10.0
24,0,return,151,151,WS 1 (Port 1),(1;0;0),1098,1173,1173.0,30.0 + 15.0 + 30.0
25,2,reshuffle,386,174,(4;3;1),(0;4;5),999,1084,1084.0,30.0 + 25.0 + 30.0
26,1,reshuffle,320,174,(4;3;2),(0;4;4),1049,1134,1134.0,30.0 + 25.0 + 30.0
27,2,reshuffle,229,174,(4;3;3),(0;4;3),1109,1194,1194.0,30.0 + 25.0 + 30.0
28,1,target,174,174,(4;3;4),WS 1 (Port 1),1159,1274,1274.0,30.0 + 45.0 + 30.0 + 10.0
29,0,return,174,174,WS 1 (Port 1),(1;1;1),1276,1356,1356.0,30.0 + 20.0 + 30.0
30,2,target,10,10,(0;0;3),WS 1 (Port 2),1214,1294,1294.0,30.0 + 10.0 + 30.0 + 10.0
31,1,return,10,10,WS 1 (Port 2),(0;0;3),1298,1368,1368.0,30.0 + 10.0 + 30.0
32,2,target,76,76,(1;4;2),WS 2 (Port 1),1319,1429,1429.0,30.0 + 40.0 + 30.0 + 10.0
33,0,return,76,76,WS 2 (Port 1),(0;0;2),1451,1526,1526.0,30.0 + 15.0 + 30.0
34,1,target,0,0,(0;2;4),WS 2 (Port 2),1378,1473,1473.0,30.0 + 25.0 + 30.0 + 10.0
35,1,return,0,0,WS 2 (Port 2),(0;0;1),1475,1556,1556.0,30.0 + 21.0 + 30.0
36,2,target,75,75,(1;3;2),WS 2 (Port 1),1454,1559,1559.0,30.0 + 35.0 + 30.0 + 10.0
37,0,return,75,75,WS 2 (Port 1),(0;0;0),1567,1642,1642.0,30.0 + 15.0 + 30.0
38,1,reshuffle,174,20,(1;1;1),(0;2;4),1566,1636,1636.0,30.0 + 10.0 + 30.0
39,2,reshuffle,73,20,(1;1;2),(0;2;3),1596,1666,1666.0,30.0 + 10.0 + 30.0
40,1,reshuffle,51,20,(1;1;3),(0;2;2),1646,1716,1716.0,30.0 + 10.0 + 30.0
41,0,target,20,20,(1;1;4),WS 1 (Port 1),1676,1766,1766.0,30.0 + 20.0 + 30.0 + 10.0
42,0,return,20,20,WS 1 (Port 1),(0;2;1),1768,1848,1848.0,30.0 + 20.0 + 30.0
