mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,75,75,(1;3;2),WS 2 (Port 1),20,125,125.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,75,75,WS 2 (Port 1),(0;0;5),127,202,202.0,30.0 + 15.0 + 30.0
3,1,reshuffle,63,10,(2;2;2),(0;0;4),20,232,232.0,30.0 + 152.0 + 30.0
4,2,reshuffle,41,10,(2;2;3),(0;0;3),50,262,262.0,30.0 + 152.0 + 30.0
5,0,target,10,10,(2;2;4),WS 2 (Port 1),222,327,327.0,30.0 + 35.0 + 30.0 + 10.0
6,0,return,10,10,WS 2 (Port 1),(0;0;2),331,406,406.0,30.0 + 15.0 + 30.0
7,1,reshuffle,77,24,(1;5;2),(0;0;1),262,436,436.0,30.0 + 114.0 + 30.0
8,2,reshuffle,55,24,(1;5;3),(0;0;0),292,466,466.0,30.0 + 114.0 + 30.0
9,0,target,24,24,(1;5;4),WS 2 (Port 1),436,551,551.0,30.0 + 45.0 + 30.0 + 10.0
10,0,return,24,24,WS 2 (Port 1),(0;1;5),553,633,633.0,30.0 + 20.0 + 30.0
11,1,reshuffle,377,118,(5;5;0),(0;1;4),486,663,663.0,30.0 + 117.0 + 30.0
12,2,reshuffle,220,118,(5;5;1),(0;1;3),516,693,693.0,30.0 + 117.0 + 30.0
13,0,reshuffle,165,118,(5;5;2),(0;1;2),678,783,783.0,30.0 + 45.0 + 30.0
14,1,reshuffle,151,118,(5;5;3),(0;1;1),708,813,813.0,30.0 + 45.0 + 30.0
15,2,target,118,118,(5;5;4),WS 2 (Port 1),738,873,873.0,30.0 + 65.0 + 30.0 + 10.0
16,0,return,118,118,WS 2 (Port 1),(0;1;0),875,955,955.0,30.0 + 20.0 + 30.0
