mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,79,79,(1;7;2),WS 1 (Port 1),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,79,79,WS 1 (Port 1),(0;0;5),166,236,236.0,30.0 + 10.0 + 30.0
3,1,reshuffle,58,27,(1;8;3),(0;0;4),45,266,266.0,30.0 + 161.0 + 30.0
4,2,target,27,27,(1;8;4),WS 1 (Port 2),75,200,200.0,30.0 + 55.0 + 30.0 + 10.0
5,2,return,27,27,WS 1 (Port 2),(0;0;3),206,296,296.0,30.0 + 30.0 + 30.0
6,0,reshuffle,377,118,(5;5;0),(0;0;2),286,396,396.0,30.0 + 50.0 + 30.0
7,1,reshuffle,220,118,(5;5;1),(0;0;1),316,426,426.0,30.0 + 50.0 + 30.0
8,2,reshuffle,165,118,(5;5;2),(0;0;0),346,456,456.0,30.0 + 50.0 + 30.0
9,0,reshuffle,151,118,(5;5;3),(0;1;5),446,551,551.0,30.0 + 45.0 + 30.0
10,1,target,118,118,(5;5;4),WS 1 (Port 1),476,606,606.0,30.0 + 60.0 + 30.0 + 10.0
11,0,return,118,118,WS 1 (Port 1),(0;1;4),698,773,773.0,30.0 + 15.0 + 30.0
