mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,61,193,(2;0;2),(0;0;5),10,80,80.0,30.0 + 10.0 + 30.0
2,1,reshuffle,39,193,(2;0;3),(0;0;4),40,110,110.0,30.0 + 10.0 + 30.0
3,2,reshuffle,8,193,(2;0;4),(0;0;3),70,140,140.0,30.0 + 10.0 + 30.0
4,0,reshuffle,339,193,(2;0;5),(0;0;2),100,170,170.0,30.0 + 10.0 + 30.0
5,1,target,193,193,(2;0;6),WS 1 (Port 1),130,220,220.0,30.0 + 20.0 + 30.0 + 10.0
6,0,return,193,193,WS 1 (Port 1),(0;0;1),234,304,304.0,30.0 + 10.0 + 30.0
7,2,reshuffle,386,174,(4;3;1),(0;0;0),175,334,334.0,30.0 + 99.0 + 30.0
8,1,reshuffle,320,174,(4;3;2),(0;1;5),255,345,345.0,30.0 + 30.0 + 30.0
9,0,reshuffle,229,174,(4;3;3),(0;1;4),339,429,429.0,30.0 + 30.0 + 30.0
10,2,target,174,174,(4;3;4),WS 1 (Port 1),369,484,484.0,30.0 + 45.0 + 30.0 + 10.0
11,0,return,174,174,WS 1 (Port 1),(0;1;3),490,565,565.0,30.0 + 15.0 + 30.0
12,1,reshuffle,58,27,(1;8;3),(0;1;2),385,595,595.0,30.0 + 150.0 + 30.0
13,2,target,27,27,(1;8;4),WS 1 (Port 1),529,654,654.0,30.0 + 55.0 + 30.0 + 10.0
14,0,return,27,27,WS 1 (Port 1),(0;1;1),660,735,735.0,30.0 + 15.0 + 30.0
