mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,20,20,(1;1;1),WS 1 (Port 1),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
2,0,return,20,20,WS 1 (Port 1),(0;0;7),104,174,174.0,30.0 + 10.0 + 30.0
3,1,reshuffle,17,105,(1;4;1),(0;0;6),25,204,204.0,30.0 + 119.0 + 30.0
4,2,reshuffle,39,105,(1;4;2),(0;0;5),55,234,234.0,30.0 + 119.0 + 30.0
5,0,reshuffle,61,105,(1;4;3),(0;0;4),199,284,284.0,30.0 + 25.0 + 30.0
6,1,reshuffle,83,105,(1;4;4),(0;0;3),229,314,314.0,30.0 + 25.0 + 30.0
7,2,target,105,105,(1;4;5),WS 1 (Port 1),259,364,364.0,30.0 + 35.0 + 30.0 + 10.0
8,0,return,105,105,WS 1 (Port 1),(0;0;2),368,438,438.0,30.0 + 10.0 + 30.0
9,1,reshuffle,30,118,(2;2;1),(0;0;1),334,468,468.0,30.0 + 74.0 + 30.0
10,2,reshuffle,52,118,(2;2;2),(0;0;0),384,498,498.0,30.0 + 54.0 + 30.0
11,0,reshuffle,74,118,(2;2;3),(0;1;7),458,533,533.0,30.0 + 15.0 + 30.0
12,1,reshuffle,96,118,(2;2;4),(0;1;6),488,563,563.0,30.0 + 15.0 + 30.0
13,2,target,118,118,(2;2;5),WS 1 (Port 1),518,618,618.0,30.0 + 30.0 + 30.0 + 10.0
14,0,return,118,118,WS 1 (Port 1),(0;1;5),622,697,697.0,30.0 + 15.0 + 30.0
