mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,3,3,(5;7;0),WS 1 (Port 1),60,200,200.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,3,3,WS 1 (Port 1),(0;0;7),216,286,286.0,30.0 + 10.0 + 30.0
3,1,target,5,5,(5;5;0),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
4,1,return,5,5,WS 1 (Port 2),(0;0;6),196,316,316.0,30.0 + 60.0 + 30.0
5,2,target,8,8,(5;2;0),WS 1 (Port 3),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
6,2,return,8,8,WS 1 (Port 3),(0;0;5),166,346,346.0,30.0 + 120.0 + 30.0
7,0,target,0,0,(5;10;0),WS 1 (Port 1),361,516,516.0,30.0 + 85.0 + 30.0 + 10.0
8,0,return,0,0,WS 1 (Port 1),(0;0;4),518,588,588.0,30.0 + 10.0 + 30.0
9,1,target,1,1,(5;9;0),WS 1 (Port 2),386,536,536.0,30.0 + 80.0 + 30.0 + 10.0
10,1,return,1,1,WS 1 (Port 2),(0;0;3),552,622,622.0,30.0 + 10.0 + 30.0
