mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,8,8,(5;2;0),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,8,8,WS 2 (Port 1),(0;0;7),165,240,240.0,30.0 + 15.0 + 30.0
3,1,target,3,3,(5;7;0),WS 2 (Port 1),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
4,1,return,3,3,WS 2 (Port 1),(0;0;6),221,296,296.0,30.0 + 15.0 + 30.0
5,2,target,5,5,(5;5;0),WS 2 (Port 2),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
6,2,return,5,5,WS 2 (Port 2),(0;0;5),201,326,326.0,30.0 + 65.0 + 30.0
7,0,target,24,24,(2;8;1),WS 1 (Port 1),290,420,420.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,24,24,WS 1 (Port 1),(0;0;4),442,512,512.0,30.0 + 10.0 + 30.0
9,1,target,0,0,(5;10;0),WS 1 (Port 1),371,526,526.0,30.0 + 85.0 + 30.0 + 10.0
10,0,return,0,0,WS 1 (Port 1),(0;0;3),534,604,604.0,30.0 + 10.0 + 30.0
