mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,12,12,(1;9;1),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,12,12,WS 1 (Port 1),(0;0;7),182,252,252.0,30.0 + 10.0 + 30.0
3,1,target,1,1,(5;9;0),WS 1 (Port 2),70,220,220.0,30.0 + 80.0 + 30.0 + 10.0
4,1,return,1,1,WS 1 (Port 2),(0;0;6),234,304,304.0,30.0 + 10.0 + 30.0
5,2,target,3,3,(5;7;0),WS 1 (Port 3),60,200,200.0,30.0 + 70.0 + 30.0 + 10.0
6,0,return,3,3,WS 1 (Port 3),(0;0;5),262,334,334.0,30.0 + 12.0 + 30.0
7,2,target,8,8,(5;2;0),WS 1 (Port 1),235,350,350.0,30.0 + 45.0 + 30.0 + 10.0
8,0,return,8,8,WS 1 (Port 1),(0;0;4),366,436,436.0,30.0 + 10.0 + 30.0
9,1,target,23,23,(2;9;1),WS 1 (Port 1),359,494,494.0,30.0 + 65.0 + 30.0 + 10.0
10,0,return,23,23,WS 1 (Port 1),(0;0;3),516,586,586.0,30.0 + 10.0 + 30.0
