mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,10,10,(5;0;0),WS 1 (Port 1),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,10,10,WS 1 (Port 1),(0;0;7),132,202,202.0,30.0 + 10.0 + 30.0
3,1,target,0,0,(5;10;0),WS 1 (Port 1),75,230,230.0,30.0 + 85.0 + 30.0 + 10.0
4,0,return,0,0,WS 1 (Port 1),(0;0;6),246,316,316.0,30.0 + 10.0 + 30.0
5,2,target,1,1,(5;9;0),WS 1 (Port 2),70,220,220.0,30.0 + 80.0 + 30.0 + 10.0
6,1,return,1,1,WS 1 (Port 2),(0;0;5),236,346,346.0,30.0 + 50.0 + 30.0
7,2,target,2,2,(5;8;0),WS 1 (Port 1),285,430,430.0,30.0 + 75.0 + 30.0 + 10.0
8,0,return,2,2,WS 1 (Port 1),(0;0;4),444,514,514.0,30.0 + 10.0 + 30.0
9,1,target,20,20,(1;1;1),WS 1 (Port 2),356,446,446.0,30.0 + 20.0 + 30.0 + 10.0
10,1,return,20,20,WS 1 (Port 2),(0;0;3),468,544,544.0,30.0 + 16.0 + 30.0
