mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,23,23,(2;9;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,23,23,WS 1 (Port 1),(0;0;7),192,262,262.0,30.0 + 10.0 + 30.0
3,1,target,161,161,(4;3;1),WS 1 (Port 2),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
4,1,return,161,161,WS 1 (Port 2),(0;0;6),156,292,292.0,30.0 + 76.0 + 30.0
5,2,reshuffle,31,119,(2;1;1),(0;0;5),15,322,322.0,30.0 + 247.0 + 30.0
6,0,reshuffle,53,119,(2;1;2),(0;0;4),277,352,352.0,30.0 + 15.0 + 30.0
7,1,reshuffle,75,119,(2;1;3),(0;0;3),307,382,382.0,30.0 + 15.0 + 30.0
8,2,reshuffle,97,119,(2;1;4),(0;0;2),337,412,412.0,30.0 + 15.0 + 30.0
9,0,target,119,119,(2;1;5),WS 1 (Port 1),367,462,462.0,30.0 + 25.0 + 30.0 + 10.0
10,0,return,119,119,WS 1 (Port 1),(0;0;1),464,534,534.0,30.0 + 10.0 + 30.0
11,1,reshuffle,13,79,(1;8;1),(0;0;0),427,564,564.0,30.0 + 77.0 + 30.0
12,2,reshuffle,35,79,(1;8;2),(0;1;7),457,557,557.0,30.0 + 40.0 + 30.0
13,0,reshuffle,57,79,(1;8;3),(0;1;6),579,679,679.0,30.0 + 40.0 + 30.0
14,1,target,79,79,(1;8;4),WS 1 (Port 1),609,734,734.0,30.0 + 55.0 + 30.0 + 10.0
15,0,return,79,79,WS 1 (Port 1),(0;1;5),736,811,811.0,30.0 + 15.0 + 30.0
16,2,target,27,27,(2;5;1),WS 1 (Port 2),587,702,702.0,30.0 + 45.0 + 30.0 + 10.0
17,1,return,27,27,WS 1 (Port 2),(0;1;4),724,841,841.0,30.0 + 57.0 + 30.0
