mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,12,12,(1;9;1),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,12,12,WS 1 (Port 1),(0;0;7),182,252,252.0,30.0 + 10.0 + 30.0
3,1,reshuffle,30,118,(2;2;1),(0;0;6),20,282,282.0,30.0 + 202.0 + 30.0
4,2,reshuffle,52,118,(2;2;2),(0;0;5),50,312,312.0,30.0 + 202.0 + 30.0
5,0,reshuffle,74,118,(2;2;3),(0;0;4),272,352,352.0,30.0 + 20.0 + 30.0
6,1,reshuffle,96,118,(2;2;4),(0;0;3),302,382,382.0,30.0 + 20.0 + 30.0
7,2,target,118,118,(2;2;5),WS 1 (Port 1),332,432,432.0,30.0 + 30.0 + 30.0 + 10.0
8,0,return,118,118,WS 1 (Port 1),(0;0;2),434,504,504.0,30.0 + 10.0 + 30.0
9,1,reshuffle,31,75,(2;1;1),(0;0;1),397,534,534.0,30.0 + 77.0 + 30.0
10,2,reshuffle,53,75,(2;1;2),(0;0;0),447,564,564.0,30.0 + 57.0 + 30.0
11,0,target,75,75,(2;1;3),WS 1 (Port 1),519,614,614.0,30.0 + 25.0 + 30.0 + 10.0
12,0,return,75,75,WS 1 (Port 1),(0;1;7),618,693,693.0,30.0 + 15.0 + 30.0
13,1,target,10,10,(5;0;0),WS 1 (Port 1),559,664,664.0,30.0 + 35.0 + 30.0 + 10.0
14,1,return,10,10,WS 1 (Port 1),(0;1;6),666,741,741.0,30.0 + 15.0 + 30.0
15,2,reshuffle,97,119,(2;1;4),(0;1;5),579,771,771.0,30.0 + 132.0 + 30.0
16,0,target,119,119,(2;1;5),WS 1 (Port 1),703,798,798.0,30.0 + 25.0 + 30.0 + 10.0
17,0,return,119,119,WS 1 (Port 1),(0;1;4),800,875,875.0,30.0 + 15.0 + 30.0
18,1,reshuffle,13,79,(1;8;1),(0;1;3),781,905,905.0,30.0 + 64.0 + 30.0
19,2,reshuffle,35,79,(1;8;2),(0;1;2),811,935,935.0,30.0 + 64.0 + 30.0
20,0,reshuffle,57,79,(1;8;3),(0;1;1),915,1015,1015.0,30.0 + 40.0 + 30.0
21,1,target,79,79,(1;8;4),WS 1 (Port 1),945,1070,1070.0,30.0 + 55.0 + 30.0 + 10.0
22,0,return,79,79,WS 1 (Port 1),(0;1;0),1074,1149,1149.0,30.0 + 15.0 + 30.0
