mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,16,16,(1;5;1),WS 1 (Port 1),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
2,0,return,16,16,WS 1 (Port 1),(0;0;7),142,212,212.0,30.0 + 10.0 + 30.0
3,1,target,23,23,(2;9;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,23,23,WS 1 (Port 1),(0;0;6),192,262,262.0,30.0 + 10.0 + 30.0
5,2,target,27,27,(2;5;1),WS 1 (Port 2),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
6,0,return,27,27,WS 1 (Port 2),(0;0;5),222,292,292.0,30.0 + 10.0 + 30.0
7,2,reshuffle,13,79,(1;8;1),(0;0;4),195,322,322.0,30.0 + 67.0 + 30.0
8,1,reshuffle,35,79,(1;8;2),(0;0;3),307,412,412.0,30.0 + 45.0 + 30.0
9,0,reshuffle,57,79,(1;8;3),(0;0;2),337,442,442.0,30.0 + 45.0 + 30.0
10,2,target,79,79,(1;8;4),WS 1 (Port 1),367,492,492.0,30.0 + 55.0 + 30.0 + 10.0
11,0,return,79,79,WS 1 (Port 1),(0;0;1),494,564,564.0,30.0 + 10.0 + 30.0
12,1,reshuffle,31,119,(2;1;1),(0;0;0),427,594,594.0,30.0 + 107.0 + 30.0
13,2,reshuffle,53,119,(2;1;2),(0;1;7),507,577,577.0,30.0 + 10.0 + 30.0
14,0,reshuffle,75,119,(2;1;3),(0;1;6),579,649,649.0,30.0 + 10.0 + 30.0
15,1,reshuffle,97,119,(2;1;4),(0;1;5),609,679,679.0,30.0 + 10.0 + 30.0
16,2,target,119,119,(2;1;5),WS 1 (Port 1),639,734,734.0,30.0 + 25.0 + 30.0 + 10.0
17,0,return,119,119,WS 1 (Port 1),(0;1;4),736,811,811.0,30.0 + 15.0 + 30.0
18,1,reshuffle,28,193,(2;4;1),(0;1;3),704,841,841.0,30.0 + 77.0 + 30.0
19,2,reshuffle,50,193,(2;4;2),(0;1;2),764,871,871.0,30.0 + 47.0 + 30.0
20,0,reshuffle,72,193,(2;4;3),(0;1;1),836,921,921.0,30.0 + 25.0 + 30.0
21,1,reshuffle,94,193,(2;4;4),(0;1;0),866,951,951.0,30.0 + 25.0 + 30.0
22,2,reshuffle,116,193,(2;4;5),(0;2;7),896,976,976.0,30.0 + 20.0 + 30.0
23,0,reshuffle,138,193,(2;4;6),(0;2;6),946,1026,1026.0,30.0 + 20.0 + 30.0
24,1,target,193,193,(2;4;7),WS 1 (Port 1),976,1086,1086.0,30.0 + 40.0 + 30.0 + 10.0
25,0,return,193,193,WS 1 (Port 1),(1;0;0),1088,1163,1163.0,30.0 + 15.0 + 30.0
26,2,reshuffle,147,202,(3;6;1),(0;2;5),1011,1106,1106.0,30.0 + 35.0 + 30.0
27,1,target,202,202,(3;6;2),WS 1 (Port 1),1131,1256,1256.0,30.0 + 55.0 + 30.0 + 10.0
28,0,return,202,202,WS 1 (Port 1),(0;2;4),1276,1356,1356.0,30.0 + 20.0 + 30.0
