mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,3,3,(2;5;2),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,3,3,WS 2 (Port 1),(1;0;1),157,237,237.0,30.0 + 20.0 + 30.0
3,1,target,36,36,(1;9;0),WS 2 (Port 2),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,36,36,WS 2 (Port 2),(1;0;0),193,273,273.0,30.0 + 20.0 + 30.0
5,2,target,44,44,(2;1;2),WS 2 (Port 3),15,115,115.0,30.0 + 30.0 + 30.0 + 10.0
6,2,return,44,44,WS 2 (Port 3),(0;2;4),123,208,208.0,30.0 + 25.0 + 30.0
7,2,target,47,47,(1;6;5),WS 2 (Port 1),233,353,353.0,30.0 + 50.0 + 30.0 + 10.0
8,0,return,47,47,WS 2 (Port 1),(0;2;3),361,446,446.0,30.0 + 25.0 + 30.0
9,1,target,51,51,(5;0;2),WS 2 (Port 1),293,403,403.0,30.0 + 40.0 + 30.0 + 10.0
10,1,return,51,51,WS 2 (Port 1),(0;2;2),409,494,494.0,30.0 + 25.0 + 30.0
11,2,target,134,134,(1;3;5),WS 2 (Port 1),378,483,483.0,30.0 + 35.0 + 30.0 + 10.0
12,0,return,134,134,WS 2 (Port 1),(0;2;1),495,580,580.0,30.0 + 25.0 + 30.0
