mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,87,10,(4;3;0),(0;2;4),35,120,120.0,30.0 + 25.0 + 30.0
2,1,reshuffle,204,10,(4;3;1),(0;2;3),65,150,150.0,30.0 + 25.0 + 30.0
3,2,reshuffle,197,10,(4;3;2),(0;2;2),95,180,180.0,30.0 + 25.0 + 30.0
4,0,reshuffle,80,10,(4;3;3),(0;2;1),145,230,230.0,30.0 + 25.0 + 30.0
5,1,reshuffle,253,10,(4;3;4),(0;2;0),175,260,260.0,30.0 + 25.0 + 30.0
6,2,reshuffle,113,10,(4;3;5),(0;3;2),205,285,285.0,30.0 + 20.0 + 30.0
7,0,target,10,10,(4;3;6),WS 2 (Port 1),255,375,375.0,30.0 + 50.0 + 30.0 + 10.0
8,0,return,10,10,WS 2 (Port 1),(1;0;1),383,463,463.0,30.0 + 20.0 + 30.0
9,1,target,56,56,(0;0;0),WS 2 (Port 2),270,355,355.0,30.0 + 15.0 + 30.0 + 10.0
10,1,return,56,56,WS 2 (Port 2),(0;0;0),359,434,434.0,30.0 + 15.0 + 30.0
11,2,target,57,57,(4;7;1),WS 2 (Port 1),325,465,465.0,30.0 + 70.0 + 30.0 + 10.0
12,1,return,57,57,WS 2 (Port 1),(1;0;0),469,549,549.0,30.0 + 20.0 + 30.0
13,0,reshuffle,183,224,(3;5;2),(0;3;1),498,583,583.0,30.0 + 25.0 + 30.0
14,2,reshuffle,98,224,(3;5;3),(0;3;0),528,613,613.0,30.0 + 25.0 + 30.0
15,1,target,224,224,(3;5;4),WS 2 (Port 1),584,709,709.0,30.0 + 55.0 + 30.0 + 10.0
16,0,return,224,224,WS 2 (Port 1),(1;1;2),717,802,802.0,30.0 + 25.0 + 30.0
17,2,reshuffle,16,226,(4;2;0),(0;6;6),638,738,738.0,30.0 + 40.0 + 30.0
18,1,reshuffle,287,226,(4;2;1),(0;6;5),744,844,844.0,30.0 + 40.0 + 30.0
19,2,reshuffle,148,226,(4;2;2),(0;6;4),778,878,878.0,30.0 + 40.0 + 30.0
20,0,reshuffle,394,226,(4;2;3),(0;6;3),822,922,922.0,30.0 + 40.0 + 30.0
21,1,target,226,226,(4;2;4),WS 2 (Port 1),884,999,999.0,30.0 + 45.0 + 30.0 + 10.0
22,0,return,226,226,WS 2 (Port 1),(1;1;1),1031,1116,1116.0,30.0 + 25.0 + 30.0
23,2,reshuffle,101,227,(1;8;1),(0;6;2),893,968,968.0,30.0 + 15.0 + 30.0
24,2,reshuffle,81,227,(1;8;2),(0;6;1),983,1058,1058.0,30.0 + 15.0 + 30.0
25,1,reshuffle,171,227,(1;8;3),(0;6;0),1049,1124,1124.0,30.0 + 15.0 + 30.0
26,2,target,227,227,(1;8;4),WS 2 (Port 1),1079,1209,1209.0,30.0 + 60.0 + 30.0 + 10.0
27,0,return,227,227,WS 2 (Port 1),(1;1;0),1217,1302,1302.0,30.0 + 25.0 + 30.0
28,1,target,0,0,(3;5;5),WS 2 (Port 1),1144,1269,1269.0,30.0 + 55.0 + 30.0 + 10.0
29,1,return,0,0,WS 2 (Port 1),(2;0;0),1271,1356,1356.0,30.0 + 25.0 + 30.0
30,2,reshuffle,174,118,(2;3;2),(0;7;2),1239,1329,1329.0,30.0 + 30.0 + 30.0
31,0,reshuffle,349,118,(2;3;3),(0;7;1),1317,1407,1407.0,30.0 + 30.0 + 30.0
32,2,reshuffle,33,118,(2;3;4),(0;7;0),1359,1449,1449.0,30.0 + 30.0 + 30.0
33,1,reshuffle,263,118,(2;3;5),(0;8;5),1389,1484,1484.0,30.0 + 35.0 + 30.0
34,0,target,118,118,(2;3;6),WS 2 (Port 1),1437,1547,1547.0,30.0 + 40.0 + 30.0 + 10.0
35,0,return,118,118,WS 2 (Port 1),(1;2;3),1549,1639,1639.0,30.0 + 30.0 + 30.0
36,2,reshuffle,57,225,(1;0;0),(0;8;4),1489,1594,1594.0,30.0 + 45.0 + 30.0
37,1,reshuffle,10,225,(1;0;1),(0;8;3),1529,1634,1634.0,30.0 + 45.0 + 30.0
38,2,reshuffle,166,225,(1;0;2),(0;8;2),1639,1744,1744.0,30.0 + 45.0 + 30.0
39,0,reshuffle,260,225,(1;0;3),(0;8;1),1669,1774,1774.0,30.0 + 45.0 + 30.0
40,1,reshuffle,215,225,(1;0;4),(0;8;0),1699,1804,1804.0,30.0 + 45.0 + 30.0
41,2,target,225,225,(1;0;5),WS 2 (Port 1),1789,1879,1879.0,30.0 + 20.0 + 30.0 + 10.0
42,0,return,225,225,WS 2 (Port 1),(1;0;5),1911,1991,1991.0,30.0 + 20.0 + 30.0
