mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,150,24,(1;4;0),(0;2;4),25,100,100.0,30.0 + 15.0 + 30.0
2,1,reshuffle,35,24,(1;4;1),(0;2;3),55,130,130.0,30.0 + 15.0 + 30.0
3,2,target,24,24,(1;4;2),WS 1 (Port 1),85,190,190.0,30.0 + 35.0 + 30.0 + 10.0
4,0,return,24,24,WS 1 (Port 1),(1;0;1),208,283,283.0,30.0 + 15.0 + 30.0
5,1,reshuffle,183,98,(3;5;2),(0;2;2),160,250,250.0,30.0 + 30.0 + 30.0
6,2,target,98,98,(3;5;3),WS 1 (Port 1),230,350,350.0,30.0 + 50.0 + 30.0 + 10.0
7,0,return,98,98,WS 1 (Port 1),(1;0;0),384,459,459.0,30.0 + 15.0 + 30.0
8,1,target,193,193,(1;5;0),WS 2 (Port 1),270,385,385.0,30.0 + 45.0 + 30.0 + 10.0
9,1,return,193,193,WS 2 (Port 1),(0;2;1),415,500,500.0,30.0 + 25.0 + 30.0
10,2,target,22,22,(5;1;4),WS 2 (Port 1),380,495,495.0,30.0 + 45.0 + 30.0 + 10.0
11,0,return,22,22,WS 2 (Port 1),(0;2;0),501,586,586.0,30.0 + 25.0 + 30.0
12,1,target,15,15,(4;1;5),WS 2 (Port 1),525,635,635.0,30.0 + 40.0 + 30.0 + 10.0
13,0,return,15,15,WS 2 (Port 1),(1;1;2),659,744,744.0,30.0 + 25.0 + 30.0
14,2,target,3,3,(2;5;2),WS 2 (Port 2),535,655,655.0,30.0 + 50.0 + 30.0 + 10.0
15,1,return,3,3,WS 2 (Port 2),(1;1;1),657,774,774.0,30.0 + 57.0 + 30.0
