mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,377,119,(2;4;3),(0;2;4),30,110,110.0,30.0 + 20.0 + 30.0
2,1,target,119,119,(2;4;4),WS 2 (Port 1),60,175,175.0,30.0 + 45.0 + 30.0 + 10.0
3,0,return,119,119,WS 2 (Port 1),(1;0;1),177,257,257.0,30.0 + 20.0 + 30.0
4,2,target,79,79,(2;0;1),WS 2 (Port 2),10,105,105.0,30.0 + 25.0 + 30.0 + 10.0
5,1,return,79,79,WS 2 (Port 2),(1;0;0),165,287,287.0,30.0 + 62.0 + 30.0
6,2,target,27,27,(5;3;0),WS 2 (Port 1),150,275,275.0,30.0 + 55.0 + 30.0 + 10.0
7,0,return,27,27,WS 2 (Port 1),(0;2;3),277,362,362.0,30.0 + 25.0 + 30.0
8,2,target,23,23,(4;5;0),WS 2 (Port 1),325,455,455.0,30.0 + 60.0 + 30.0 + 10.0
9,0,return,23,23,WS 2 (Port 1),(0;2;2),457,542,542.0,30.0 + 25.0 + 30.0
10,1,target,13,13,(3;0;0),WS 2 (Port 2),297,397,397.0,30.0 + 30.0 + 30.0 + 10.0
11,1,return,13,13,WS 2 (Port 2),(0;2;1),399,572,572.0,30.0 + 113.0 + 30.0
