mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,23,23,(4;5;0),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,23,23,WS 1 (Port 1),(1;0;1),230,305,305.0,30.0 + 15.0 + 30.0
3,1,target,22,22,(5;1;4),WS 1 (Port 2),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
4,1,transfer,22,22,WS 1 (Port 2),WS 1 (Port 3),216,276,276.0,30.0 + 0.0 + 30.0
5,0,return,22,22,WS 1 (Port 3),(1;0;0),362,437,437.0,30.0 + 15.0 + 30.0
6,2,reshuffle,386,75,(1;2;4),(0;2;4),15,80,80.0,30.0 + 5.0 + 30.0
7,2,reshuffle,186,75,(1;2;5),(0;2;3),85,150,150.0,30.0 + 5.0 + 30.0
8,2,reshuffle,395,75,(1;2;6),(0;2;2),155,220,220.0,30.0 + 5.0 + 30.0
9,2,target,75,75,(1;2;7),WS 1 (Port 1),225,320,320.0,30.0 + 25.0 + 30.0 + 10.0
10,1,return,75,75,WS 1 (Port 1),(0;2;1),326,406,406.0,30.0 + 20.0 + 30.0
11,2,reshuffle,114,21,(4;10;1),(0;2;0),390,510,510.0,30.0 + 60.0 + 30.0
12,1,reshuffle,383,21,(4;10;2),(0;3;2),466,581,581.0,30.0 + 55.0 + 30.0
13,0,reshuffle,387,21,(4;10;3),(0;3;1),502,617,617.0,30.0 + 55.0 + 30.0
14,2,reshuffle,319,21,(4;10;4),(0;3;0),570,685,685.0,30.0 + 55.0 + 30.0
15,1,reshuffle,335,21,(4;10;5),(0;6;6),636,736,736.0,30.0 + 40.0 + 30.0
16,0,target,21,21,(4;10;6),WS 1 (Port 1),672,822,822.0,30.0 + 80.0 + 30.0 + 10.0
17,0,return,21,21,WS 1 (Port 1),(1;1;2),886,966,966.0,30.0 + 20.0 + 30.0
18,2,reshuffle,275,20,(0;4;0),(0;6;5),690,766,766.0,30.0 + 16.0 + 30.0
19,1,reshuffle,184,20,(0;4;1),(0;6;4),746,816,816.0,30.0 + 10.0 + 30.0
20,2,reshuffle,92,20,(0;4;2),(0;6;3),776,846,846.0,30.0 + 10.0 + 30.0
21,1,target,20,20,(0;4;3),WS 1 (Port 1),826,926,926.0,30.0 + 30.0 + 30.0 + 10.0
22,1,return,20,20,WS 1 (Port 1),(1;1;1),974,1054,1054.0,30.0 + 20.0 + 30.0
23,2,target,79,79,(2;0;1),WS 1 (Port 2),886,976,976.0,30.0 + 20.0 + 30.0 + 10.0
24,0,return,79,79,WS 1 (Port 2),(1;1;0),986,1084,1084.0,30.0 + 38.0 + 30.0
