mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,193,230,(1;5;0),(0;2;4),30,110,110.0,30.0 + 20.0 + 30.0
2,1,reshuffle,58,230,(1;5;1),(0;2;3),60,140,140.0,30.0 + 20.0 + 30.0
3,2,reshuffle,208,230,(1;5;2),(0;2;2),90,170,170.0,30.0 + 20.0 + 30.0
4,0,reshuffle,391,230,(1;5;3),(0;2;1),130,210,210.0,30.0 + 20.0 + 30.0
5,1,target,230,230,(1;5;4),WS 1 (Port 1),160,270,270.0,30.0 + 40.0 + 30.0 + 10.0
6,0,return,230,230,WS 1 (Port 1),(1;0;1),286,361,361.0,30.0 + 15.0 + 30.0
7,2,target,23,23,(4;5;0),WS 1 (Port 1),205,330,330.0,30.0 + 55.0 + 30.0 + 10.0
8,1,return,23,23,WS 1 (Port 1),(1;0;0),334,409,409.0,30.0 + 15.0 + 30.0
9,2,target,183,183,(3;5;2),WS 1 (Port 1),370,490,490.0,30.0 + 50.0 + 30.0 + 10.0
10,0,return,183,183,WS 1 (Port 1),(0;2;0),506,586,586.0,30.0 + 20.0 + 30.0
11,1,reshuffle,275,184,(0;4;0),(0;3;2),434,499,499.0,30.0 + 5.0 + 30.0
12,1,target,184,184,(0;4;1),WS 1 (Port 1),504,604,604.0,30.0 + 30.0 + 30.0 + 10.0
13,0,return,184,184,WS 1 (Port 1),(1;1;2),620,700,700.0,30.0 + 20.0 + 30.0
14,2,reshuffle,386,186,(1;2;4),(0;3;1),505,575,575.0,30.0 + 10.0 + 30.0
15,2,target,186,186,(1;2;5),WS 1 (Port 1),585,680,680.0,30.0 + 25.0 + 30.0 + 10.0
16,1,return,186,186,WS 1 (Port 1),(1;1;1),696,776,776.0,30.0 + 20.0 + 30.0
17,2,reshuffle,23,225,(1;0;0),(0;3;0),685,765,765.0,30.0 + 20.0 + 30.0
18,0,reshuffle,230,225,(1;0;1),(0;4;1),715,800,800.0,30.0 + 25.0 + 30.0
19,1,reshuffle,166,225,(1;0;2),(0;4;0),781,866,866.0,30.0 + 25.0 + 30.0
20,2,reshuffle,260,225,(1;0;3),(0;6;6),811,906,906.0,30.0 + 35.0 + 30.0
21,0,reshuffle,215,225,(1;0;4),(0;6;5),841,936,936.0,30.0 + 35.0 + 30.0
22,1,target,225,225,(1;0;5),WS 1 (Port 1),891,976,976.0,30.0 + 15.0 + 30.0 + 10.0
23,0,return,225,225,WS 1 (Port 1),(1;0;5),1008,1083,1083.0,30.0 + 15.0 + 30.0
24,2,reshuffle,51,228,(5;0;2),(0;6;4),961,1076,1076.0,30.0 + 55.0 + 30.0
25,1,target,228,228,(5;0;3),WS 1 (Port 1),1001,1106,1106.0,30.0 + 35.0 + 30.0 + 10.0
26,0,return,228,228,WS 1 (Port 1),(1;0;4),1138,1213,1213.0,30.0 + 15.0 + 30.0
27,2,reshuffle,316,187,(1;7;0),(0;6;3),1086,1156,1156.0,30.0 + 10.0 + 30.0
28,1,reshuffle,5,187,(1;7;1),(0;6;2),1146,1216,1216.0,30.0 + 10.0 + 30.0
29,2,target,187,187,(1;7;2),WS 1 (Port 1),1176,1296,1296.0,30.0 + 50.0 + 30.0 + 10.0
30,0,return,187,187,WS 1 (Port 1),(1;0;3),1304,1379,1379.0,30.0 + 15.0 + 30.0
31,1,target,189,189,(0;5;0),WS 1 (Port 2),1221,1326,1326.0,30.0 + 35.0 + 30.0 + 10.0
32,1,return,189,189,WS 1 (Port 2),(1;0;2),1342,1417,1417.0,30.0 + 15.0 + 30.0
