mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,135,116,(5;6;1),(0;2;4),55,160,160.0,30.0 + 45.0 + 30.0
2,1,target,116,116,(5;6;2),WS 2 (Port 1),85,225,225.0,30.0 + 70.0 + 30.0 + 10.0
3,0,return,116,116,WS 2 (Port 1),(1;0;1),343,423,423.0,30.0 + 20.0 + 30.0
4,2,reshuffle,44,331,(2;1;2),(0;2;3),15,190,190.0,30.0 + 115.0 + 30.0
5,2,reshuffle,63,331,(2;1;3),(0;2;2),205,280,280.0,30.0 + 15.0 + 30.0
6,1,reshuffle,375,331,(2;1;4),(0;2;1),245,320,320.0,30.0 + 15.0 + 30.0
7,2,reshuffle,196,331,(2;1;5),(0;2;0),295,370,370.0,30.0 + 15.0 + 30.0
8,1,reshuffle,259,331,(2;1;6),(0;3;2),335,415,415.0,30.0 + 20.0 + 30.0
9,2,target,331,331,(2;1;7),WS 2 (Port 1),385,485,485.0,30.0 + 30.0 + 30.0 + 10.0
10,0,return,331,331,WS 2 (Port 1),(1;0;0),589,669,669.0,30.0 + 20.0 + 30.0
11,1,reshuffle,327,88,(3;6;0),(0;3;1),445,535,535.0,30.0 + 30.0 + 30.0
12,2,reshuffle,76,88,(3;6;1),(0;3;0),535,625,625.0,30.0 + 30.0 + 30.0
13,1,reshuffle,269,88,(3;6;2),(0;6;6),565,640,640.0,30.0 + 15.0 + 30.0
14,1,reshuffle,168,88,(3;6;3),(0;6;5),655,730,730.0,30.0 + 15.0 + 30.0
15,2,reshuffle,48,88,(3;6;4),(0;6;4),685,760,760.0,30.0 + 15.0 + 30.0
16,0,reshuffle,322,88,(3;6;5),(0;6;3),715,790,790.0,30.0 + 15.0 + 30.0
17,1,reshuffle,2,88,(3;6;6),(0;6;2),745,820,820.0,30.0 + 15.0 + 30.0
18,2,target,88,88,(3;6;7),WS 2 (Port 1),775,905,905.0,30.0 + 60.0 + 30.0 + 10.0
19,0,return,88,88,WS 2 (Port 1),(1;1;2),917,1002,1002.0,30.0 + 25.0 + 30.0
20,1,reshuffle,13,66,(3;0;0),(0;6;1),865,970,970.0,30.0 + 45.0 + 30.0
21,2,reshuffle,107,66,(3;0;1),(0;6;0),925,1030,1030.0,30.0 + 45.0 + 30.0
22,1,reshuffle,285,66,(3;0;2),(0;7;2),1015,1125,1125.0,30.0 + 50.0 + 30.0
23,0,reshuffle,104,66,(3;0;3),(0;7;1),1045,1155,1155.0,30.0 + 50.0 + 30.0
24,2,reshuffle,351,66,(3;0;4),(0;7;0),1075,1185,1185.0,30.0 + 50.0 + 30.0
25,1,reshuffle,218,66,(3;0;5),(0;8;5),1175,1290,1290.0,30.0 + 55.0 + 30.0
26,0,target,66,66,(3;0;6),WS 2 (Port 1),1205,1305,1305.0,30.0 + 30.0 + 30.0 + 10.0
27,0,return,66,66,WS 2 (Port 1),(1;1;1),1439,1524,1524.0,30.0 + 25.0 + 30.0
28,2,target,79,79,(2;0;1),WS 2 (Port 2),1230,1325,1325.0,30.0 + 25.0 + 30.0 + 10.0
29,1,return,79,79,WS 2 (Port 2),(1;1;0),1345,1554,1554.0,30.0 + 149.0 + 30.0
