mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,46,191,(5;9;4),(0;2;4),70,190,190.0,30.0 + 60.0 + 30.0
2,1,reshuffle,261,191,(5;9;5),(0;2;3),100,220,220.0,30.0 + 60.0 + 30.0
3,2,target,191,191,(5;9;6),WS 2 (Port 1),130,285,285.0,30.0 + 85.0 + 30.0 + 10.0
4,0,return,191,191,WS 2 (Port 1),(1;0;1),305,385,385.0,30.0 + 20.0 + 30.0
5,1,target,255,255,(0;1;0),WS 2 (Port 2),225,315,315.0,30.0 + 20.0 + 30.0 + 10.0
6,1,return,255,255,WS 2 (Port 2),(0;1;0),323,403,403.0,30.0 + 20.0 + 30.0
7,2,target,101,101,(1;8;1),WS 2 (Port 1),335,465,465.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,101,101,WS 2 (Port 1),(1;0;0),495,575,575.0,30.0 + 20.0 + 30.0
9,1,target,83,83,(2;6;1),WS 2 (Port 1),438,563,563.0,30.0 + 55.0 + 30.0 + 10.0
10,1,return,83,83,WS 2 (Port 1),(0;2;2),567,652,652.0,30.0 + 25.0 + 30.0
11,2,target,114,114,(4;10;1),WS 2 (Port 1),540,695,695.0,30.0 + 85.0 + 30.0 + 10.0
12,0,return,114,114,WS 2 (Port 1),(0;2;1),699,784,784.0,30.0 + 25.0 + 30.0
