mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,57,57,(4;7;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,57,57,WS 2 (Port 1),(1;0;1),201,281,281.0,30.0 + 20.0 + 30.0
3,1,reshuffle,44,63,(2;1;2),(0;2;4),15,90,90.0,30.0 + 15.0 + 30.0
4,2,target,63,63,(2;1;3),WS 2 (Port 2),45,145,145.0,30.0 + 30.0 + 30.0 + 10.0
5,1,return,63,63,WS 2 (Port 2),(1;0;0),159,311,311.0,30.0 + 92.0 + 30.0
6,2,target,71,71,(2;10;5),WS 2 (Port 1),210,355,355.0,30.0 + 75.0 + 30.0 + 10.0
7,0,return,71,71,WS 2 (Port 1),(0;2;3),361,446,446.0,30.0 + 25.0 + 30.0
8,1,target,79,79,(2;0;1),WS 2 (Port 1),316,411,411.0,30.0 + 25.0 + 30.0 + 10.0
9,1,return,79,79,WS 2 (Port 1),(0;2;2),417,502,502.0,30.0 + 25.0 + 30.0
10,2,target,87,87,(4;3;0),WS 2 (Port 1),395,515,515.0,30.0 + 50.0 + 30.0 + 10.0
11,0,return,87,87,WS 2 (Port 1),(0;2;1),521,606,606.0,30.0 + 25.0 + 30.0
12,1,reshuffle,255,388,(0;1;0),(0;2;0),507,636,636.0,30.0 + 69.0 + 30.0
13,2,target,388,388,(0;1;1),WS 2 (Port 1),537,627,627.0,30.0 + 20.0 + 30.0 + 10.0
14,0,return,388,388,WS 2 (Port 1),(0;1;1),631,711,711.0,30.0 + 20.0 + 30.0
