mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,286,286,(0;9;5),WS 2 (Port 1),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,286,286,WS 2 (Port 1),(1;0;1),181,261,261.0,30.0 + 20.0 + 30.0
3,1,reshuffle,194,136,(4;6;3),(0;2;4),50,150,150.0,30.0 + 40.0 + 30.0
4,2,target,136,136,(4;6;4),WS 2 (Port 2),80,215,215.0,30.0 + 65.0 + 30.0 + 10.0
5,1,return,136,136,WS 2 (Port 2),(1;0;0),217,297,297.0,30.0 + 20.0 + 30.0
6,2,target,16,16,(4;2;0),WS 2 (Port 1),250,365,365.0,30.0 + 45.0 + 30.0 + 10.0
7,0,return,16,16,WS 2 (Port 1),(0;2;3),369,454,454.0,30.0 + 25.0 + 30.0
8,1,target,40,40,(1;1;3),WS 2 (Port 2),302,397,397.0,30.0 + 25.0 + 30.0 + 10.0
9,1,return,40,40,WS 2 (Port 2),(0;2;2),399,484,484.0,30.0 + 25.0 + 30.0
10,2,target,52,52,(0;3;3),WS 2 (Port 1),385,485,485.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,52,52,WS 2 (Port 1),(0;2;1),491,576,576.0,30.0 + 25.0 + 30.0
12,1,target,135,135,(5;6;1),WS 2 (Port 1),529,669,669.0,30.0 + 70.0 + 30.0 + 10.0
13,0,return,135,135,WS 2 (Port 1),(0;2;0),675,760,760.0,30.0 + 25.0 + 30.0
