mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,274,18,(3;8;1),(0;2;4),55,160,160.0,30.0 + 45.0 + 30.0
2,1,reshuffle,384,18,(3;8;2),(0;2;3),85,190,190.0,30.0 + 45.0 + 30.0
3,2,reshuffle,265,18,(3;8;3),(0;2;2),115,220,220.0,30.0 + 45.0 + 30.0
4,0,reshuffle,141,18,(3;8;4),(0;2;1),205,310,310.0,30.0 + 45.0 + 30.0
5,1,target,18,18,(3;8;5),WS 2 (Port 1),235,375,375.0,30.0 + 70.0 + 30.0 + 10.0
6,0,return,18,18,WS 2 (Port 1),(1;0;1),379,459,459.0,30.0 + 20.0 + 30.0
7,2,reshuffle,110,19,(3;3;2),(0;2;0),240,340,340.0,30.0 + 40.0 + 30.0
8,2,reshuffle,364,19,(3;3;3),(0;3;2),360,435,435.0,30.0 + 15.0 + 30.0
9,1,reshuffle,129,19,(3;3;4),(0;3;1),410,485,485.0,30.0 + 15.0 + 30.0
10,2,reshuffle,330,19,(3;3;5),(0;6;6),450,540,540.0,30.0 + 30.0 + 30.0
11,0,target,19,19,(3;3;6),WS 2 (Port 1),484,599,599.0,30.0 + 45.0 + 30.0 + 10.0
12,0,return,19,19,WS 2 (Port 1),(1;0;0),603,683,683.0,30.0 + 20.0 + 30.0
13,0,reshuffle,19,26,(1;0;0),(0;6;5),683,778,778.0,30.0 + 35.0 + 30.0
14,1,reshuffle,18,26,(1;0;1),(0;6;4),713,808,808.0,30.0 + 35.0 + 30.0
15,2,reshuffle,166,26,(1;0;2),(0;6;3),743,838,838.0,30.0 + 35.0 + 30.0
16,0,reshuffle,260,26,(1;0;3),(0;6;2),813,908,908.0,30.0 + 35.0 + 30.0
17,1,reshuffle,215,26,(1;0;4),(0;6;1),843,938,938.0,30.0 + 35.0 + 30.0
18,2,reshuffle,225,26,(1;0;5),(0;6;0),873,968,968.0,30.0 + 35.0 + 30.0
19,0,reshuffle,370,26,(1;0;6),(0;7;2),943,1043,1043.0,30.0 + 40.0 + 30.0
20,1,target,26,26,(1;0;7),WS 2 (Port 1),973,1063,1063.0,30.0 + 20.0 + 30.0 + 10.0
21,1,return,26,26,WS 2 (Port 1),(1;0;7),1067,1147,1147.0,30.0 + 20.0 + 30.0
22,2,target,129,129,(0;3;1),WS 2 (Port 2),983,1083,1083.0,30.0 + 30.0 + 30.0 + 10.0
23,0,return,129,129,WS 2 (Port 2),(1;0;6),1093,1177,1177.0,30.0 + 24.0 + 30.0
24,2,reshuffle,16,139,(4;2;0),(0;3;1),1118,1203,1203.0,30.0 + 25.0 + 30.0
25,1,reshuffle,287,139,(4;2;1),(0;3;0),1172,1257,1257.0,30.0 + 25.0 + 30.0
26,0,reshuffle,148,139,(4;2;2),(0;7;1),1202,1307,1307.0,30.0 + 45.0 + 30.0
27,2,reshuffle,394,139,(4;2;3),(0;7;0),1232,1337,1337.0,30.0 + 45.0 + 30.0
28,1,reshuffle,226,139,(4;2;4),(0;8;5),1282,1392,1392.0,30.0 + 50.0 + 30.0
29,0,reshuffle,64,139,(4;2;5),(0;8;4),1352,1462,1462.0,30.0 + 50.0 + 30.0
30,2,target,139,139,(4;2;6),WS 2 (Port 1),1382,1497,1497.0,30.0 + 45.0 + 30.0 + 10.0
31,1,return,139,139,WS 2 (Port 1),(1;0;5),1501,1581,1581.0,30.0 + 20.0 + 30.0
32,0,reshuffle,189,155,(0;5;0),(0;8;3),1477,1552,1552.0,30.0 + 15.0 + 30.0
33,2,reshuffle,202,155,(0;5;1),(0;8;2),1527,1602,1602.0,30.0 + 15.0 + 30.0
34,0,reshuffle,67,155,(0;5;2),(0;8;1),1567,1642,1642.0,30.0 + 15.0 + 30.0
35,1,target,155,155,(0;5;3),WS 2 (Port 1),1611,1721,1721.0,30.0 + 40.0 + 30.0 + 10.0
36,0,return,155,155,WS 2 (Port 1),(1;0;4),1725,1805,1805.0,30.0 + 20.0 + 30.0
37,2,reshuffle,51,157,(5;0;2),(0;5;3),1667,1777,1777.0,30.0 + 50.0 + 30.0
38,1,reshuffle,228,157,(5;0;3),(0;5;2),1751,1861,1861.0,30.0 + 50.0 + 30.0
39,0,reshuffle,353,157,(5;0;4),(0;5;1),1825,1935,1935.0,30.0 + 50.0 + 30.0
40,2,reshuffle,96,157,(5;0;5),(0;5;0),1855,1965,1965.0,30.0 + 50.0 + 30.0
41,1,reshuffle,365,157,(5;0;6),(0;8;0),1911,2036,2036.0,30.0 + 65.0 + 30.0
42,0,target,157,157,(5;0;7),WS 2 (Port 1),1985,2095,2095.0,30.0 + 40.0 + 30.0 + 10.0
43,0,return,157,157,WS 2 (Port 1),(1;0;3),2097,2177,2177.0,30.0 + 20.0 + 30.0
44,2,reshuffle,27,38,(5;3;0),(0;9;4),2000,2115,2115.0,30.0 + 55.0 + 30.0
45,1,reshuffle,61,38,(5;3;1),(0;9;3),2086,2201,2201.0,30.0 + 55.0 + 30.0
46,2,reshuffle,217,38,(5;3;2),(0;9;2),2170,2285,2285.0,30.0 + 55.0 + 30.0
47,0,reshuffle,17,38,(5;3;3),(0;9;1),2212,2327,2327.0,30.0 + 55.0 + 30.0
48,1,reshuffle,152,38,(5;3;4),(0;9;0),2256,2371,2371.0,30.0 + 55.0 + 30.0
49,2,reshuffle,329,38,(5;3;5),(0;10;0),2340,2460,2460.0,30.0 + 60.0 + 30.0
50,0,target,38,38,(5;3;6),WS 2 (Port 1),2382,2507,2507.0,30.0 + 55.0 + 30.0 + 10.0
51,0,return,38,38,WS 2 (Port 1),(1;0;2),2511,2591,2591.0,30.0 + 20.0 + 30.0
52,1,reshuffle,301,74,(3;2;2),(1;0;1),2421,2621,2621.0,30.0 + 140.0 + 30.0
53,2,reshuffle,380,74,(3;2;3),(1;0;0),2515,2651,2651.0,30.0 + 76.0 + 30.0
54,0,reshuffle,25,74,(3;2;4),(1;1;2),2611,2686,2686.0,30.0 + 15.0 + 30.0
55,1,reshuffle,283,74,(3;2;5),(1;1;1),2641,2716,2716.0,30.0 + 15.0 + 30.0
