Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183124,6,409.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183126,18,859.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183130,2,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183132,7,567.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183135,5,269.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183140,7,337.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183144,2,273.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183147,35,2013.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183201,60,2809.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183223,15,744.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183230,69,3081.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183256,15,744.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183258,3,227.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183301,3,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183304,3,227.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183307,5,169.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183311,8,544.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183316,2,197.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183319,5,209.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183322,2,285.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183325,5,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183326,23,1228.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183332,3,339.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183334,6,365.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183338,3,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183340,38,1667.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183350,5,257.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183354,6,339.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183356,34,1692.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183404,48,2370.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183420,5,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183424,14,951.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183427,6,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183431,7,267.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183436,14,878.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183443,6,350.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183447,2,261.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183449,9,586.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183454,4,295.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183457,16,1104.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312183459,5,217.0,0.0
