mission_no,agv_id,mission_type,original_run_id,cmd_id,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,duration_breakdown
1,0,reshuffle,20260203174310,5864,255,388,(0;1;0),(0;2;4),1705363205,1705363270,5,70,70.0,4,30.0 + 5.0 + 30.0
2,1,target,20260203174310,5864,388,388,(0;1;1),work station 2 (Port 1),1705363235,1705363325,35,125,125.0,4,30.0 + 20.0 + 30.0 + 10.0
3,0,return,20260203174358,5953,388,388,work station 2 (Port 1),(0;1;1),1705363333,1705363413,133,213,213.0,4,30.0 + 20.0 + 30.0
4,2,reshuffle,20260203174308,5859,140,338,(0;10;1),(0;1;0),1705363250,1705363443,50,243,243.0,2,30.0 + 133.0 + 30.0
5,3,target,20260203174308,5859,338,338,(0;10;2),work station 1 (Port 1),1705363280,1705363410,80,210,210.0,2,30.0 + 60.0 + 30.0 + 10.0
6,1,return,20260203174337,5913,338,338,work station 1 (Port 1),(1;0;1),1705363414,1705363489,214,289,289.0,2,30.0 + 15.0 + 30.0
7,4,reshuffle,20260203174305,5855,273,244,(3;10;0),(0;2;3),1705363265,1705363380,65,180,180.0,3,30.0 + 55.0 + 30.0
8,4,reshuffle,20260203174305,5855,323,244,(3;10;1),(0;2;2),1705363435,1705363550,235,350,350.0,3,30.0 + 55.0 + 30.0
9,0,reshuffle,20260203174305,5855,290,244,(3;10;2),(0;2;1),1705363473,1705363588,273,388,388.0,3,30.0 + 55.0 + 30.0
10,2,reshuffle,20260203174305,5855,195,244,(3;10;3),(0;2;0),1705363503,1705363618,303,418,418.0,3,30.0 + 55.0 + 30.0
11,3,target,20260203174305,5855,244,244,(3;10;4),work station 1 (Port 1),1705363533,1705363678,333,478,478.0,3,30.0 + 75.0 + 30.0 + 10.0
12,0,return,20260203174310,5862,244,244,work station 1 (Port 1),(1;0;0),1705363684,1705363759,484,559,559.0,3,30.0 + 15.0 + 30.0
13,0,reshuffle,20260203174352,5942,244,225,(1;0;0),(0;3;2),1705363759,1705363839,559,639,639.0,4,30.0 + 20.0 + 30.0
14,1,reshuffle,20260203174352,5942,338,225,(1;0;1),(0;3;1),1705363789,1705363869,589,669,669.0,4,30.0 + 20.0 + 30.0
15,2,reshuffle,20260203174352,5942,166,225,(1;0;2),(0;3;0),1705363819,1705363899,619,699,699.0,4,30.0 + 20.0 + 30.0
16,3,reshuffle,20260203174352,5942,260,225,(1;0;3),(0;6;6),1705363849,1705363944,649,744,744.0,4,30.0 + 35.0 + 30.0
17,0,reshuffle,20260203174352,5942,215,225,(1;0;4),(0;6;5),1705363879,1705363974,679,774,774.0,4,30.0 + 35.0 + 30.0
18,1,target,20260203174352,5942,225,225,(1;0;5),work station 1 (Port 1),1705363909,1705363994,709,794,794.0,4,30.0 + 15.0 + 30.0 + 10.0
19,1,return,20260203174400,5954,225,225,work station 1 (Port 1),(1;0;5),1705364002,1705364077,802,877,877.0,4,30.0 + 15.0 + 30.0
20,4,target,20260203174430,6013,79,79,(2;0;1),work station 1 (Port 2),1705363570,1705363660,370,460,460.0,8,30.0 + 20.0 + 30.0 + 10.0
21,0,return,20260203174438,6039,79,79,work station 1 (Port 2),(1;0;4),1705364014,1705364107,814,907,907.0,8,30.0 + 33.0 + 30.0
22,4,reshuffle,20260203174403,5960,44,63,(2;1;2),(0;6;4),1705363675,1705364004,475,804,804.0,4,30.0 + 269.0 + 30.0
23,2,target,20260203174403,5960,63,63,(2;1;3),work station 2 (Port 1),1705363919,1705364019,719,819,819.0,4,30.0 + 30.0 + 30.0 + 10.0
24,2,return,20260203174446,6045,63,63,work station 2 (Port 1),(1;0;3),1705364027,1705364137,827,937,937.0,4,30.0 + 50.0 + 30.0
25,3,reshuffle,20260203174430,6012,13,66,(3;0;0),(0;6;3),1705363989,1705364094,789,894,894.0,8,30.0 + 45.0 + 30.0
26,4,reshuffle,20260203174430,6012,107,66,(3;0;1),(0;6;2),1705364049,1705364154,849,954,954.0,8,30.0 + 45.0 + 30.0
27,1,reshuffle,20260203174430,6012,285,66,(3;0;2),(0;6;1),1705364087,1705364192,887,992,992.0,8,30.0 + 45.0 + 30.0
28,0,reshuffle,20260203174430,6012,104,66,(3;0;3),(0;6;0),1705364117,1705364222,917,1022,1022.0,8,30.0 + 45.0 + 30.0
29,2,reshuffle,20260203174430,6012,351,66,(3;0;4),(0;7;2),1705364147,1705364257,947,1057,1057.0,8,30.0 + 50.0 + 30.0
30,3,reshuffle,20260203174430,6012,218,66,(3;0;5),(0;7;1),1705364177,1705364287,977,1087,1087.0,8,30.0 + 50.0 + 30.0
31,4,target,20260203174430,6012,66,66,(3;0;6),work station 1 (Port 1),1705364207,1705364302,1007,1102,1102.0,8,30.0 + 25.0 + 30.0 + 10.0
32,0,return,20260203174718,6352,66,66,work station 1 (Port 1),(1;0;2),1705364318,1705364393,1118,1193,1193.0,8,30.0 + 15.0 + 30.0
33,1,reshuffle,20260203174307,5857,59,271,(4;0;6),(0;7;0),1705364242,1705364357,1042,1157,1157.0,4,30.0 + 55.0 + 30.0
34,2,target,20260203174307,5857,271,271,(4;0;7),work station 1 (Port 1),1705364312,1705364412,1112,1212,1212.0,4,30.0 + 30.0 + 30.0 + 10.0
35,0,return,20260203174310,5863,271,271,work station 1 (Port 1),(1;0;1),1705364420,1705364495,1220,1295,1295.0,4,30.0 + 15.0 + 30.0
36,3,reshuffle,20260203174320,5883,150,35,(1;4;0),(0;8;5),1705364307,1705364392,1107,1192,1192.0,5,30.0 + 25.0 + 30.0
37,4,target,20260203174320,5883,35,35,(1;4;1),work station 1 (Port 2),1705364337,1705364442,1137,1242,1242.0,5,30.0 + 35.0 + 30.0 + 10.0
38,1,return,20260203174339,5914,35,35,work station 1 (Port 2),(1;0;0),1705364452,1705364527,1252,1327,1327.0,5,30.0 + 15.0 + 30.0
39,2,reshuffle,20260203174512,6104,15,108,(4;1;5),(0;8;4),1705364437,1705364552,1237,1352,1352.0,4,30.0 + 55.0 + 30.0
40,3,reshuffle,20260203174512,6104,390,108,(4;1;6),(0;8;3),1705364467,1705364582,1267,1382,1382.0,4,30.0 + 55.0 + 30.0
41,4,target,20260203174512,6104,108,108,(4;1;7),work station 1 (Port 1),1705364497,1705364602,1297,1402,1402.0,4,30.0 + 35.0 + 30.0 + 10.0
42,0,return,20260203174538,6166,108,108,work station 1 (Port 1),(1;1;2),1705364610,1705364690,1410,1490,1490.0,4,30.0 + 20.0 + 30.0
43,1,reshuffle,20260203174332,5903,189,243,(0;5;0),(0;8;2),1705364557,1705364632,1357,1432,1432.0,3,30.0 + 15.0 + 30.0
44,2,reshuffle,20260203174332,5903,202,243,(0;5;1),(0;8;1),1705364587,1705364662,1387,1462,1462.0,3,30.0 + 15.0 + 30.0
45,3,reshuffle,20260203174332,5903,67,243,(0;5;2),(0;8;0),1705364617,1705364692,1417,1492,1492.0,3,30.0 + 15.0 + 30.0
46,1,reshuffle,20260203174332,5903,155,243,(0;5;3),(0;9;4),1705364647,1705364727,1447,1527,1527.0,3,30.0 + 20.0 + 30.0
47,2,reshuffle,20260203174332,5903,84,243,(0;5;4),(0;9;3),1705364677,1705364757,1477,1557,1557.0,3,30.0 + 20.0 + 30.0
48,3,target,20260203174332,5903,243,243,(0;5;5),work station 1 (Port 1),1705364707,1705364812,1507,1612,1612.0,3,30.0 + 35.0 + 30.0 + 10.0
49,0,return,20260203174354,5943,243,243,work station 1 (Port 1),(1;1;1),1705364818,1705364898,1618,1698,1698.0,3,30.0 + 20.0 + 30.0
50,4,target,20260203174320,5882,22,22,(5;1;4),work station 1 (Port 2),1705364632,1705364742,1432,1542,1542.0,4,30.0 + 40.0 + 30.0 + 10.0
51,1,return,20260203174613,6234,22,22,work station 1 (Port 2),(1;1;0),1705364782,1705364928,1582,1728,1728.0,4,30.0 + 86.0 + 30.0
52,4,reshuffle,20260203174403,5961,110,94,(3;3;2),(0;5;5),1705364772,1705364857,1572,1657,1657.0,2,30.0 + 25.0 + 30.0
53,2,reshuffle,20260203174403,5961,364,94,(3;3;3),(0;5;4),1705364802,1705364887,1602,1687,1687.0,2,30.0 + 25.0 + 30.0
54,3,reshuffle,20260203174403,5961,129,94,(3;3;4),(0;5;3),1705364842,1705364927,1642,1727,1727.0,2,30.0 + 25.0 + 30.0
55,4,reshuffle,20260203174403,5961,330,94,(3;3;5),(0;5;2),1705364882,1705364967,1682,1767,1767.0,2,30.0 + 25.0 + 30.0
56,2,reshuffle,20260203174403,5961,19,94,(3;3;6),(0;5;1),1705364912,1705364997,1712,1797,1797.0,2,30.0 + 25.0 + 30.0
57,0,target,20260203174403,5961,94,94,(3;3;7),work station 2 (Port 1),1705364942,1705365057,1742,1857,1857.0,2,30.0 + 45.0 + 30.0 + 10.0
58,0,return,20260203174558,6211,94,94,work station 2 (Port 1),(2;0;1),1705365061,1705365146,1861,1946,1946.0,2,30.0 + 25.0 + 30.0
59,1,reshuffle,20260203174513,6106,377,119,(2;4;3),(0;5;0),1705364948,1705365027,1748,1827,1827.0,4,30.0 + 19.0 + 30.0
60,3,target,20260203174513,6106,119,119,(2;4;4),work station 1 (Port 1),1705364978,1705365088,1778,1888,1888.0,4,30.0 + 40.0 + 30.0 + 10.0
61,1,return,20260203174525,6134,119,119,work station 1 (Port 1),(2;0;0),1705365096,1705365176,1896,1976,1976.0,4,30.0 + 20.0 + 30.0
62,4,reshuffle,20260203174317,5876,45,54,(5;2;5),(0;9;2),1705365007,1705365127,1807,1927,1927.0,4,30.0 + 60.0 + 30.0
63,2,reshuffle,20260203174317,5876,245,54,(5;2;6),(0;9;1),1705365037,1705365157,1837,1957,1957.0,4,30.0 + 60.0 + 30.0
64,3,target,20260203174317,5876,54,54,(5;2;7),work station 2 (Port 1),1705365123,1705365243,1923,2043,2043.0,4,30.0 + 50.0 + 30.0 + 10.0
65,0,return,20260203174401,5959,54,54,work station 2 (Port 1),(1;2;3),1705365251,1705365341,2051,2141,2141.0,4,30.0 + 30.0 + 30.0
66,4,reshuffle,20260203174305,5853,3,220,(2;5;2),(0;9;0),1705365157,1705365247,1957,2047,2047.0,4,30.0 + 30.0 + 30.0
67,2,reshuffle,20260203174305,5853,361,220,(2;5;3),(0;10;2),1705365187,1705365282,1987,2082,2082.0,4,30.0 + 35.0 + 30.0
68,1,reshuffle,20260203174305,5853,42,220,(2;5;4),(0;10;1),1705365217,1705365312,2017,2112,2112.0,4,30.0 + 35.0 + 30.0
69,4,reshuffle,20260203174305,5853,11,220,(2;5;5),(0;10;0),1705365277,1705365372,2077,2172,2172.0,4,30.0 + 35.0 + 30.0
